"publicaddress","controlnbr","CCN","Precinct","ReportedDate","BeginDate","Time","Offense","Description","UCRCode","EnteredDate","Long","Lat","x","y","Neighborhood","lastchanged","LastUpdateDate","OBJECTID","ESRI_OID"
"0010XX 25 AV SE",2018,"MP 2010 999137",2,"2010-02-22T20:26:17.000Z","2010-02-20T00:00:00.000Z","00:00:00","THEFT","Other Theft",7,"2010-02-22T20:26:17.000Z",-93.217972,44.990372,542784.86675,172694.852755,"COMO","2010-02-23T05:57:54.000Z","2015-09-21T14:16:59.000Z",,
"0005XX 4 AV S",2019,"MP 2010 999136",1,"2010-02-22T20:33:08.000Z","2010-02-22T09:00:00.000Z","09:00:00","TFMV","Theft From Motr Vehc",7,"2010-02-22T20:33:08.000Z",-93.265198,44.975861,530572.208538,167384.849721,"DOWNTOWN WEST","2010-02-23T07:14:11.000Z","2015-09-21T14:16:59.000Z",,
"0044XX Minnehaha AV S",2020,"MP 2010 050065",3,"2010-02-22T21:05:00.000Z","2010-02-22T14:30:00.000Z","14:30:00","BURGD","Burglary Of Dwelling",6,"2010-02-22T21:04:33.000Z",-93.217056,44.922901,543070.315511,148095.966458,"HIAWATHA","2010-02-23T08:50:01.000Z","2015-09-21T14:16:59.000Z",,
"17 AV S / 34 ST E",2021,"MP 2010 050118",3,"2010-02-22T21:41:00.000Z","2010-02-22T17:00:00.000Z","17:00:00","AUTOTH","Motor Vehicle Theft",8,"2010-02-22T21:41:08.000Z",-93.249908,44.941341,534550.268114,154804.239794,"POWDERHORN PARK","2010-02-23T08:50:58.000Z","2015-09-21T14:16:59.000Z",,
"0051XX 39 AV S",2022,"MP 2010 050116",3,"2010-02-22T21:44:00.000Z","2010-02-22T08:00:00.000Z","08:00:00","BURGD","Burglary Of Dwelling",6,"2010-02-22T21:43:58.000Z",-93.21611,44.910069,543328.149027,143419.008975,"MINNEHAHA","2010-02-23T10:58:08.000Z","2015-09-21T14:16:59.000Z",,
"5 AV N / Bryant AV N",2023,"MP 2010 050142",4,"2010-02-22T21:53:00.000Z","2010-02-22T05:30:00.000Z","05:30:00","AUTOTH","Motor Vehicle Theft",8,"2010-02-22T21:52:50.000Z",-93.290833,44.982761,523937.365074,169892.672086,"SUMNER - GLENWOOD","2010-02-23T04:05:49.000Z","2015-09-21T14:16:59.000Z",,
"0031XX 23 AV S",2024,"MP 2010 050141",3,"2010-02-22T22:05:00.000Z","2010-02-22T21:08:00.000Z","21:08:00","ROBBIZ","Robbery Of Business",4,"2010-02-22T22:04:12.000Z",-93.239418,44.94611,537264.662011,156548.652732,"CORCORAN","2010-02-25T11:07:26.000Z","2015-09-21T14:16:59.000Z",,
"University AV SE / Hennepin AV E",2025,"MP 2010 999135",2,"2010-02-22T22:16:13.000Z","2010-02-19T08:00:00.000Z","08:00:00","TFMV","Theft From Motr Vehc",7,"2010-02-22T22:16:13.000Z",-93.256378,44.987968,532848.834854,171803.935999,"NICOLLET ISLAND - EAST BANK","2010-02-23T05:57:30.000Z","2015-09-21T14:16:59.000Z",,
"0007XX 7 ST S",2026,"MP 2010 050184",1,"2010-02-22T22:43:00.000Z","2010-02-22T20:10:00.000Z","20:10:00","ASLT4","Aslt-police/emerg P",5,"2010-02-22T22:42:57.000Z",-93.262123,44.972439,531373.021001,166138.750114,"ELLIOT PARK","2010-02-23T03:59:19.000Z","2015-09-21T14:16:59.000Z",,
"0022XX Riverside AV ",2027,"MP 2010 050056",1,"2010-02-22T23:00:00.000Z","2010-02-22T18:30:00.000Z","18:30:00","DASTR","Domestic Assault/Strangulation",5,"2010-02-22T22:54:20.000Z",-93.240829,44.967331,536885.766461,164283.041125,"CEDAR RIVERSIDE","2010-02-24T07:43:00.000Z","2015-09-21T14:16:59.000Z",,
